species,bio1,bio5,bio6,bio12,bio16,bio17,clade
Abavorana_luctuosa,251.7564954,304.7003576,202.4047604,2654.398768,922.1983306,448.2953234,Anura
Ablepharus_bivittatus,121.9380973,333.8019978,-61.43511865,291.4939152,139.3229869,10.40354294,Scincoidea
Ablepharus_budaki,144.0416618,306.9306529,4.983508814,718.767494,377.0853031,22.13016684,Scincoidea
Ablepharus_chernovi,102.0405377,290.3026219,-56.77120622,585.7971436,254.9102102,26.20303931,Scincoidea
Ablepharus_darvazi,60.03659847,259.7543347,-122.8870623,677.9451329,327.1632943,21.67939136,Scincoidea
Ablepharus_deserti,96.36882409,318.1664949,-105.8814717,308.1422713,130.4332807,23.30508978,Scincoidea
Ablepharus_kitaibelii,116.5677849,279.1250666,-20.6829592,661.5578775,254.0698136,85.95748697,Scincoidea
Ablepharus_lindbergi,43.33249279,246.101818,-168.5846882,336.7432477,187.6375911,4.792893684,Scincoidea
Ablepharus_rueppellii,187.0531444,324.5423978,55.93516069,294.5402981,190.9985487,0.017444834,Scincoidea
Abronia_anzuetoi,173.6405334,243.4996033,100.485054,1475.838623,753.8824463,17.82723045,Anguimorpha
Abronia_aurita,176.0244507,239.3606354,108.0871002,2437.227686,1002.486328,225.247887,Anguimorpha
Abronia_bogerti,203.8936666,281.8086025,122.8953472,1525.398717,799.6755981,81.48305148,Anguimorpha
Abronia_chiszari,219.7760184,297.6123933,146.8671515,2761.873512,1227.310739,187.0663249,Anguimorpha
Abronia_deppii,151.5528546,253.1374597,44.19245351,1161.698896,667.6518793,42.87279935,Anguimorpha
Abronia_fimbriata,181.9048233,247.6629256,111.5100155,2182.258926,940.4879523,184.9319642,Anguimorpha
Abronia_frosti,160.4336548,244.5218811,77.27269745,1925.37793,851.6658325,155.9890289,Anguimorpha
Abronia_fuscolabialis,150.9168932,239.4247826,64.91068649,1667.616205,880.8199661,92.37841396,Anguimorpha
Abronia_gaiophantasma,176.5873239,241.1662456,107.3475598,2128.499866,929.6774585,176.8386255,Anguimorpha
Abronia_graminea,129.3021545,231.0546556,28.09650546,1173.571669,635.6386093,63.79108268,Anguimorpha
Abronia_leurolepis,153.7300323,239.3911865,65.13440247,1208.101587,529.2414612,83.35309448,Anguimorpha
Abronia_lythrochila,150.2440746,232.6564998,60.98843127,1363.504091,609.5833655,98.46007336,Anguimorpha
Abronia_martindelcampoi,186.1895195,272.8466573,107.9738172,1428.112995,868.3435559,27.5053308,Anguimorpha
Abronia_matudai,146.9770712,222.7653429,56.2761511,2142.449733,995.9815191,54.7356987,Anguimorpha
